ID_Analysis	Group	CAT_sum	ANI_sum	Ca_epm	Mg_epm	NaK_epm	HCO3CO3_epm	SO4_epm	CL_epm
504	2	12.234	11.809	59.147	30.938	9.915	43.162	45.135	11.703
505	2	18.947	17.246	34.765	55.592	9.643	29.462	57.944	12.594
506	2	5.623	5.263	65.677	21.946	12.378	80.334	1.976	17.69
507	2	23.184	21.648	23.891	24.491	51.617	15.521	29.236	55.243
508	2	9.214	8.358	40.08	38.398	21.522	71.381	9.715	18.904
509	2	8.003	8.28	29.926	55.529	14.545	49.082	37.971	12.947
510	2	4.461	4.401	57.05	29.523	13.427	89.366	6.158	4.476
511	2	5.518	5.194	86.825	11.925	1.25	86.465	10.82	2.715
512	2	8.19	7.878	45.092	18.083	36.825	52.006	3.96	44.034
513	2	5.021	4.79	55.666	42.601	1.733	96.493	1.733	1.775
514	2	6.596	6.233	39.342	22.453	38.205	68.362	9.017	22.622
515	2	14.572	14.171	75.343	20.896	3.761	25.213	71.399	3.387
516	2	6.81	5.963	62.291	21.747	15.962	74.208	13.969	11.823
517	2	5.125	4.679	74.985	22.478	2.537	74.247	19.128	6.625
518	2	6.39	5.487	39.045	12.879	48.075	64.225	20.868	14.908
519	2	7.103	6.642	48.472	32.437	19.091	61.683	14.107	24.21
520	2	9.029	7.969	37.579	59.242	3.179	62.931	33.179	3.89
521	2	6.665	6.233	52.408	41.98	5.611	86.764	7.348	5.888
522	2	14.361	14.011	44.482	22.345	33.173	36.264	36.557	27.179
523	2	121.726	123.656	16.398	70.643	12.959	6.227	80.817	12.956
524	2	9.815	8.196	61.009	25.991	13.001	50.61	37.347	12.042
525	2	10.249	8.587	77.9	11.24	10.86	57.261	23.035	19.704
526	2	7.476	7.015	61.41	37.426	1.164	57.006	39.772	3.222
527	2	7.687	7.264	57.122	41.746	1.132	75.578	20.925	3.497
528	2	6.677	5.669	56.058	35.735	8.207	77.192	12.859	9.949
529	2	8.318	7.426	32.4	16.819	50.781	46.122	15.136	38.742
530	2	13.229	13.097	52.808	34.833	12.359	54.432	32.427	13.14
531	2	5.185	4.259	96.239	1.581	2.179	90.045	9.298	0.657
532	2	6.103	6.14	46.6	45.846	7.554	64.593	19.332	16.075
533	2	5.675	3.897	41.322	14.502	44.176	50.475	15.499	34.026
534	2	20.727	19.2	32.986	35.336	31.678	1.281	2.495	96.224
535	2	14.623	13.445	62.45	17.445	20.105	25.839	48.776	25.385
536	2	5.61	5.255	83.619	11.729	4.652	87.631	7.536	4.833
537	2	4.021	3.708	50.883	22.507	26.61	84.412	11.785	3.803
538	2	13.291	12.838	43.556	19.81	36.634	42.257	23.025	34.717
